arch,inputs,n_animals,acc_mean,acc_std,f1_mean,f1_std,rmse_mean,rmse_std
STA-LSTM-H,accel,18,0.955140054671169,0.01558133426588122,0.9457969774411212,0.014950935825784101,11289.976394314237,4810.698407250215
STA-LSTM-H,bp_lag1,18,0.9854124457308249,0.001714962792322905,0.9805269793031967,0.0032813133943253767,11434.26742078993,4995.914181083743
STA-LSTM-H,bp,18,0.9925872326740635,0.0009293281908988962,0.9902151534662698,0.0014845712546582316,14480.759602864584,6682.111238115327
STA-LSTM,accel,18,0.9564772471458434,0.01585468827742861,0.9475575506643504,0.01500430990726474,11337.118587239582,4831.547730315322
STA-LSTM,bp_lag1,18,0.9852182022833252,0.0017456005619830195,0.9803048813703614,0.00323050050560396,11435.352170138889,4996.3607056890405
STA-LSTM,bp,18,0.9926283968483679,0.0009095187899490738,0.990267019212778,0.001536709835342653,14481.071392144098,6621.390579668788
LSTM,accel,18,0.9116436726161763,0.028570204146102923,0.8936558799221639,0.02969400494259068,13846.877408854167,6306.860908834171
LSTM,bp_lag1,18,0.9848284290078791,0.001854894117153452,0.9797187259312908,0.003503659456147106,10838.22530924479,4799.7102335225745
LSTM,bp,18,0.9927666827464221,0.0009098546472631636,0.9903844927765637,0.0017604790975005358,10543.179296875,4609.737616134585
GRU,accel,18,0.9189561022672456,0.02740124581912356,0.9030957757969273,0.027862467938455666,13652.218250868054,6147.432864148399
GRU,bp_lag1,18,0.9848856729377711,0.0020427250346116395,0.9796065502516806,0.004193640663587996,10330.869259982639,4349.836009618396
GRU,bp,18,0.9928837433671008,0.0009412331388304369,0.9904219034431344,0.0019111935807901962,10044.118603515624,4171.663260302486
Transformer,accel,18,0.8583650104518411,0.031635956566531676,0.831046219572229,0.03246354829103214,16268.599826388889,7409.3675092245985
Transformer,bp_lag1,18,0.9862337996462455,0.002047132890526048,0.9815535281725309,0.003045189506971646,14196.00460611979,6460.157909224971
Transformer,bp,18,0.9929834378517446,0.0009007790166183176,0.9905906436806359,0.0014537392941290964,14279.055181206597,6626.527615822972
