comparison,a,b,n,stat,p,mean_a,mean_b,delta_mean,p_holm
lstm_h_headline_vs_lstm_h_accel,STA-LSTM-H/bp,STA-LSTM-H/accel,18,0.0,7.62939453125e-06,0.9925872326740635,0.955140054671169,0.037447178002894405,9.918212890625e-05
lstm_h_headline_vs_lstm_h_lag1,STA-LSTM-H/bp,STA-LSTM-H/bp_lag1,18,0.0,7.62939453125e-06,0.9925872326740635,0.9854124457308249,0.007174786943238476,9.918212890625e-05
lstm_h_lag1_vs_lstm_h_accel,STA-LSTM-H/bp_lag1,STA-LSTM-H/accel,18,0.0,7.62939453125e-06,0.9854124457308249,0.955140054671169,0.030272391059655925,9.918212890625e-05
lstm_h_lag1_vs_lstm_lag1,STA-LSTM-H/bp_lag1,LSTM/bp_lag1,18,22.0,0.00400543212890625,0.9854124457308249,0.9848284290078791,0.0005840167229458101,0.02002716064453125
lstm_h_lag1_vs_gru_lag1,STA-LSTM-H/bp_lag1,GRU/bp_lag1,18,34.5,0.02632851897314159,0.9854124457308249,0.9848856729377711,0.0005267727930535142,0.07898555691942477
lstm_h_lag1_vs_transformer_lag1,STA-LSTM-H/bp_lag1,Transformer/bp_lag1,18,4.0,5.340576171875e-05,0.9854124457308249,0.9862337996462455,-0.0008213539154204555,0.00037384033203125
lstm_h_lag1_vs_sta_lstm_lag1,STA-LSTM-H/bp_lag1,STA-LSTM/bp_lag1,18,59.0,0.2645263671875,0.9854124457308249,0.9852182022833252,0.00019424344749961278,0.2645263671875
lstm_h_headline_vs_lstm_bp,STA-LSTM-H/bp,LSTM/bp,18,49.0,0.11870574951171875,0.9925872326740635,0.9927666827464221,-0.0001794500723588789,0.2374114990234375
lstm_h_headline_vs_gru_bp,STA-LSTM-H/bp,GRU/bp,18,23.0,0.0047454833984375,0.9925872326740635,0.9928837433671008,-0.0002965106930374513,0.02002716064453125
lstm_h_headline_vs_transformer_bp,STA-LSTM-H/bp,Transformer/bp,18,8.0,0.000736675759382907,0.9925872326740635,0.9929834378517446,-0.00039620517768129075,0.004420054556297442
lstm_h_headline_vs_lstm_headline,STA-LSTM-H/bp,LSTM/accel,18,0.0,7.62939453125e-06,0.9925872326740635,0.9116436726161763,0.08094356005788717,9.918212890625e-05
lstm_h_headline_vs_gru_headline,STA-LSTM-H/bp,GRU/accel,18,0.0,7.62939453125e-06,0.9925872326740635,0.9189561022672456,0.07363113040681783,9.918212890625e-05
lstm_h_headline_vs_transformer_headline,STA-LSTM-H/bp,Transformer/accel,18,0.0,7.62939453125e-06,0.9925872326740635,0.8583650104518411,0.13422222222222224,9.918212890625e-05
