comparison,p,W_plus,r_rb,n,p_holm
STA-LSTM-H+bp_lag1_vs_STA-LSTM + bp_lag1|acc,0.2645263671875,112.0,0.30994152046783624,18,0.7935791015625
STA-LSTM-H+bp_lag1_vs_STA-LSTM + bp_lag1|f1,0.28372955322265625,111.0,0.2982456140350877,18,0.7935791015625
STA-LSTM-H+bp_lag1_vs_STA-LSTM + bp_lag1|rmse,0.8985748291015625,82.0,-0.04093567251461988,18,0.8985748291015625
STA-LSTM-H+bp_lag1_vs_LSTM + bp_lag1|acc,0.00400543212890625,149.0,0.7426900584795322,18,0.02803802490234375
STA-LSTM-H+bp_lag1_vs_LSTM + bp_lag1|f1,0.0047454833984375,148.0,0.7309941520467836,18,0.028472900390625
STA-LSTM-H+bp_lag1_vs_LSTM + bp_lag1|rmse,7.62939453125e-06,0.0,-1.0,18,0.00011444091796875
STA-LSTM-H+bp_lag1_vs_GRU + bp_lag1|acc,0.02632851897314159,136.5,0.5964912280701754,18,0.10531407589256636
STA-LSTM-H+bp_lag1_vs_GRU + bp_lag1|f1,0.00896453857421875,144.0,0.6842105263157895,18,0.04482269287109375
STA-LSTM-H+bp_lag1_vs_GRU + bp_lag1|rmse,7.62939453125e-06,0.0,-1.0,18,0.00011444091796875
STA-LSTM-H+bp_lag1_vs_Transformer + bp_lag1|acc,5.340576171875e-05,4.0,-0.9532163742690059,18,0.00048065185546875
STA-LSTM-H+bp_lag1_vs_Transformer + bp_lag1|f1,0.00041961669921875,11.0,-0.8713450292397661,18,0.00335693359375
STA-LSTM-H+bp_lag1_vs_Transformer + bp_lag1|rmse,7.62939453125e-06,171.0,1.0,18,0.00011444091796875
STA-LSTM-H_lagged_vs_samestep|acc,7.62939453125e-06,0.0,-1.0,18,0.00011444091796875
STA-LSTM-H_lagged_vs_samestep|f1,7.62939453125e-06,0.0,-1.0,18,0.00011444091796875
STA-LSTM-H_lagged_vs_samestep|rmse,7.62939453125e-06,171.0,1.0,18,0.00011444091796875
