architecture,input_set,acc_mean,acc_std,f1_mean,f1_std,n_animals,source
STA-LSTM-H,accel,0.7703431419842419,0.08099435677300648,0.7366718448507084,0.07850457850390634,18,loao_ablation
STA-LSTM-H,bp_lag1,0.9864820710725198,0.0020225696378413905,0.9818993252491359,0.0028288872578984365,18,loao_ablation
STA-LSTM-H,bp,0.9927493166103876,0.0023854280201279,0.9904942125211388,0.0022589537675423,18,loao_headline
STA-LSTM,accel,0.7610734844830359,0.08730056244494104,0.7204877096108266,0.08894333936072513,18,loao_ablation
STA-LSTM,bp_lag1,0.9864563434635794,0.002039917028435731,0.9818946267813722,0.0029050526548772375,18,loao_ablation
STA-LSTM,bp,0.9932284933269012,0.0010539300996214,0.990974386020224,0.001541874239008,18,loao_headline
LSTM,accel,0.7652838076861231,0.0883591185988039,0.7266580589777251,0.0913214446977639,18,loao_headline
LSTM,bp_lag1,0.9867342016401349,0.002080972704215364,0.9822554618906132,0.002875096078104172,18,loao_ablation
LSTM,bp,0.99330889210484,0.0010438239839178987,0.9910761658375313,0.0014186874346866277,18,loao_ablation
GRU,accel,0.7675214664737096,0.0931394023828235,0.7308647698244941,0.0978038762301344,18,loao_headline
GRU,bp_lag1,0.9867978774722624,0.0020600314470002857,0.9823076546862208,0.0028630368889719184,18,loao_ablation
GRU,bp,0.9934034410676958,0.0009971900340859949,0.991157791540074,0.001430169651467332,18,loao_ablation
Transformer,accel,0.7728355041003376,0.102192874540679,0.7350416857225736,0.1052575480683972,18,loao_headline
Transformer,bp_lag1,0.9866300048239266,0.00212181739224632,0.9820426405545424,0.0031061885860778136,18,loao_ablation
Transformer,bp,0.9929210484000642,0.00147692840892871,0.9904936836728377,0.0018083067751985212,18,loao_ablation
1D-CNN,accel,0.7827895159993568,0.0885426447418998,0.7430842096169499,0.0943879889439427,18,loao_headline
1D-CNN,bp_lag1,0.9863598649300531,0.002060889557302066,0.9816910846286713,0.0030761395907632078,18,loao_ablation
1D-CNN,bp,0.9930844187168356,0.0009447698772320276,0.9907500553536848,0.001402559108504021,18,loao_ablation
