arch,inputs,n_animals,acc_mean,acc_std,f1_mean,f1_std,rmse_mean,rmse_std,lat_mean
STA-LSTM,accel,18,0.9564772471458434,0.015854688277428624,0.9475575506643507,0.015004309907264738,11337.118587239584,4831.547730315321,0.012582200566616061
STA-LSTM-H,accel,18,0.955140054671169,0.015581334265881258,0.945796977441121,0.0149509358257841,11289.976394314237,4810.698407250215,0.01262578563623916
GRU,accel,18,0.9189561022672456,0.02740124581912355,0.9030957757969273,0.027862467938455652,13652.218250868056,6147.4328641484,0.06535147883821335
LSTM,accel,18,0.9116436726161763,0.028570204146102916,0.8936558799221639,0.029694004942590686,13846.877408854167,6306.860908834172,0.02219919525261339
Transformer,accel,18,0.8583650104518411,0.03163595656653166,0.8310462195722288,0.03246354829103212,16268.599826388889,7409.367509224599,0.05381207803985623
Transformer,bp,18,0.9929834378517446,0.0009007790166183055,0.9905906436806357,0.001453739294129131,14279.055181206597,6626.527615822972,0.013671095508388367
GRU,bp,18,0.9928837433671008,0.0009412331388304239,0.9904219034431342,0.0019111935807902152,10044.118603515624,4171.6632603024855,0.010051106693246145
LSTM,bp,18,0.9927666827464223,0.0009098546472631619,0.9903844927765635,0.0017604790975005327,10543.179296875001,4609.737616134585,0.010460480931121344
STA-LSTM,bp,18,0.9926283968483679,0.0009095187899490905,0.990267019212778,0.0015367098353426506,14481.071392144098,6621.390579668788,0.034504161153234514
STA-LSTM-H,bp,18,0.9925872326740635,0.0009293281908988718,0.9902151534662698,0.001484571254658228,14480.759602864584,6682.111238115327,0.035509338586175276
Transformer,bp_lag1,18,0.9862337996462452,0.0020471328905260337,0.9815535281725309,0.0030451895069716476,14196.004606119792,6460.157909224971,0.013648266307659149
STA-LSTM-H,bp_lag1,18,0.9854124457308249,0.001714962792322879,0.9805269793031967,0.00328131339432537,11434.26742078993,4995.914181083742,0.012550120016334983
STA-LSTM,bp_lag1,18,0.9852182022833252,0.0017456005619830154,0.9803048813703613,0.0032305005056039527,11435.352170138889,4996.3607056890405,0.012558464383567738
GRU,bp_lag1,18,0.9848856729377713,0.002042725034611635,0.9796065502516805,0.004193640663587986,10330.869259982639,4349.836009618395,0.010005701992652917
LSTM,bp_lag1,18,0.9848284290078791,0.0018548941171534438,0.9797187259312908,0.0035036594561471163,10838.225309244792,4799.710233522575,0.01054822764597369
