animal,n_windows,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,composite_score,rank,total_time_s
01,86400,LSTM,0.9369840810419682,0.0064299641395819,0.9225029221287144,0.0075618106515636,13844.873828125,161.34438100203417,0.0238758564640952,0.929607961225254,1.0,2930.35
01,86400,STA-LSTM,0.993481910274964,0.0011144435821577,0.9913069653959184,0.0015291785385865,13947.5267578125,371.1276348441139,0.0369306059046102,0.911221121153854,2.0,2930.35
01,86400,STA-LSTM-H,0.993192474674385,0.0007933703825881,0.991111782262836,0.0008973780991576,14300.516015625,290.20763421036924,0.0382440792930389,0.9087676618208546,3.0,2930.35
01,86400,GRU,0.9415918958031838,0.0034870924405472,0.928409166416919,0.0042466468329861,14348.069921875,83.6065950735459,0.0769790357393893,0.8892316845013452,4.0,2930.35
01,86400,Transformer,0.8882547033285094,0.0103227911969079,0.8652561070738205,0.0111690214672162,17236.041015625,335.3333725524131,0.0522712212454867,0.7904516440237365,5.0,2930.35
01,86400,KF,,,,,3047.552578338733,0.0124274958297088,0.0184784344088841,,,2930.35
01,86400,EKF-HMM,,,,,3400.5278910278307,1.4730849411366775,0.0188062417822284,,,2930.35
02,86400,LSTM,0.9192706222865412,0.0053442823909092,0.909934729337118,0.0053241744784403,18484.776171875,318.121975278973,0.0212352291300795,0.9158276110579754,1.0,2620.05
02,86400,STA-LSTM,0.9928335745296673,0.0005272496688502,0.9918073539908718,0.0006083380319105,18942.187890625,343.0922408442649,0.0335637630791,0.9098388464290728,2.0,2620.05
02,86400,STA-LSTM-H,0.9923936324167872,0.0013866835156707,0.991212581524298,0.0015952023204239,19045.524609375,825.7942381861302,0.0337532281790699,0.9091292117740412,3.0,2620.05
02,86400,GRU,0.9320289435600578,0.0070885041792572,0.9244702951138042,0.0068403354289013,17773.402734375,396.5388456933303,0.0636268356119521,0.884379820311172,4.0,2620.05
02,86400,Transformer,0.8723473227206945,0.0056311286069134,0.8578733892555533,0.0059221952146928,21952.8625,465.3432075415453,0.0488456300319632,0.7758982579106797,5.0,2620.05
02,86400,KF,,,,,3243.056229620656,0.0116436648617416,0.018544725951093,,,2620.05
02,86400,EKF-HMM,,,,,3601.246282758542,2.257942377706593,0.0188183593280699,,,2620.05
03,86400,LSTM,0.9279421128798842,0.004018116763432,0.9167862582240168,0.0049447912223495,10348.3505859375,113.57732086295816,0.021913448184211,0.922780002622936,1.0,2806.3
03,86400,STA-LSTM,0.9928798842257598,0.000295167555056,0.9914035158437337,0.0003610030420334,10690.138671875,317.01671639359444,0.0347292362867319,0.9096685107861828,2.0,2806.3
03,86400,STA-LSTM-H,0.992520984081042,0.0010518266538914,0.991009641915427,0.0012230279935096,11038.364453125,502.8997822735843,0.036114382313621,0.9069592453572204,3.0,2806.3
03,86400,GRU,0.92950506512301,0.009206301775688,0.9192767037917502,0.0099250316715636,10459.9400390625,387.6199024142528,0.0611590119200056,0.8847668520171673,4.0,2806.3
03,86400,Transformer,0.875739507959479,0.004810639104328,0.8569786599360116,0.0051528511502192,13567.5642578125,174.4759616465098,0.0520474787009003,0.7772273224626354,5.0,2806.3
03,86400,KF,,,,,2373.1110874747237,0.0091722107703072,0.0187258114162212,,,2806.3
03,86400,EKF-HMM,,,,,2655.0764650811398,0.4513124424729752,0.019048594838674,,,2806.3
04,86400,STA-LSTM,0.9926251808972504,0.0011770317825425,0.99001519123083,0.0017121918755073,5573.1591796875,74.11351531155701,0.0333394314446816,0.9117584507123404,1.0,2613.09
04,86400,STA-LSTM-H,0.9930188133140376,0.0009861899595506,0.9905278293552996,0.0013231348522531,5613.17998046875,74.29684909862624,0.0342455899623234,0.9103422683913078,2.0,2613.09
04,86400,LSTM,0.888821997105644,0.0044941585708827,0.8629983297170855,0.006073892644441,5296.7734375,65.23685644782192,0.0218390093674255,0.8911592857588585,3.0,2613.09
04,86400,GRU,0.8959189580318381,0.0054471749270635,0.872398471578817,0.0059083342657047,5207.9193359375,47.049504816447325,0.0613631727692823,0.8573637711259637,4.0,2613.09
04,86400,Transformer,0.8551895803183791,0.011876123594475,0.8257198844111983,0.0113338810416243,5804.296875,92.102472199945,0.052983895814863,0.7596884813030277,5.0,2613.09
04,86400,KF,,,,,969.8818230808904,0.0046653003856276,0.0188361159134952,,,2613.09
04,86400,EKF-HMM,,,,,1089.356990261993,0.0822980494242481,0.0192407344942359,,,2613.09
05,86400,LSTM,0.9253487698986976,0.0089172172799498,0.9115683996249356,0.0106715964760097,11043.0619140625,167.0043723745794,0.0218473152458322,0.920725227551282,1.0,2773.19
05,86400,STA-LSTM,0.9928335745296673,0.0010174968471302,0.9907635440410824,0.0013024064359614,11636.1763671875,297.3747974528793,0.0341535480059521,0.910538448997746,2.0,2773.19
05,86400,STA-LSTM-H,0.992590448625181,0.0012666569629275,0.9905243789945916,0.0016355370645659,11789.674609375,265.6744115443707,0.0362974115891325,0.9065643548107516,3.0,2773.19
05,86400,GRU,0.9289725036179451,0.0032813369055108,0.9163363015171704,0.0037737184961581,10918.691796875,358.7238053951887,0.0685551020002744,0.8804106318092835,4.0,2773.19
05,86400,Transformer,0.885082489146165,0.0056090677840107,0.8625577842852256,0.0057533563265621,12699.5341796875,314.1978977726736,0.0552888690250051,0.7822006197901611,5.0,2773.19
05,86400,KF,,,,,2900.9877130821,0.0070937730373985,0.0190055723559494,,,2773.19
05,86400,EKF-HMM,,,,,3254.0753956617964,1.9179677042107748,0.0192150612902192,,,2773.19
06,86400,STA-LSTM,0.9920463096960926,0.0009009586782445,0.9908948629248868,0.0010077781920622,9957.0376953125,109.44656705495773,0.0358491361022599,0.910147378753338,1.0,2731.89
06,86400,STA-LSTM-H,0.9918726483357452,0.0010882778581765,0.9906565689674616,0.0012521282918075,9864.637109375,240.13408632227456,0.0357951073167379,0.9101032980874968,2.0,2731.89
06,86400,LSTM,0.8901997105643993,0.0029689716452826,0.8785140165724465,0.0033325589717013,8844.2640625,112.95010324332428,0.0227917524272988,0.8929722437908245,3.0,2731.89
06,86400,GRU,0.8986628075253256,0.0059398616792784,0.8891605026607247,0.0062550134554926,8698.537890625,79.27445106905765,0.0693819259122208,0.8575439365558031,4.0,2731.89
06,86400,Transformer,0.840231548480463,0.0073742829231191,0.8260367805846037,0.0057268863965721,10171.8998046875,180.7557038338212,0.057885296055144,0.7464572955447817,5.0,2731.89
06,86400,KF,,,,,1536.3883599854237,0.007274561260572,0.0190693589544675,,,2731.89
06,86400,EKF-HMM,,,,,1722.627703932856,0.9106547846041224,0.0194584888536833,,,2731.89
07,86400,STA-LSTM,0.9928914616497828,0.0011088972527188,0.991924934137162,0.0012718390910357,27511.308984375,598.8328267323473,0.034666074511316,0.9076631611688462,1.0,2726.77
07,86400,STA-LSTM-H,0.9927062228654124,0.0008128967725171,0.9917158314082618,0.0009351964191046,27816.840234375,184.91013030735556,0.034962023259309,0.9069967683728688,2.0,2726.77
07,86400,LSTM,0.8821186685962372,0.0049712331736773,0.8769576303471354,0.0049789746226095,25003.246875,190.3854888034375,0.0211784183842907,0.8858500732000189,3.0,2726.77
07,86400,GRU,0.8880231548480463,0.0041222133180105,0.8833517805345853,0.0039735238909217,24560.332421875,407.3169766056312,0.0626883468012475,0.8492883773001385,4.0,2726.77
07,86400,Transformer,0.8097945007235892,0.0035229247157471,0.8011112752693723,0.0030147182168123,29587.7921875,480.77221635908535,0.0548075491410185,0.7206240072168069,5.0,2726.77
07,86400,KF,,,,,4570.484085183407,0.0169658137944063,0.0187350347093623,,,2726.77
07,86400,EKF-HMM,,,,,5083.614012499951,1.5564693701361354,0.0192098591608762,,,2726.77
08,86400,STA-LSTM,0.9900202604920404,0.0003919261564066,0.9886905838191736,0.0004337591681055,8881.4107421875,267.68617481175323,0.0336295450645379,0.9124863198576858,1.0,2715.08
08,86400,STA-LSTM-H,0.9897192474674386,0.0007641099855282,0.9883759140046152,0.0009275896943089,8564.732421875,181.7322842523368,0.0349814631428984,0.9096956541445932,2.0,2715.08
08,86400,LSTM,0.8647293777134587,0.0118005361312588,0.8529818909292836,0.011843616520555,8041.8126953125,118.46989147009684,0.022167181557074,0.8738596779703696,3.0,2715.08
08,86400,GRU,0.8744544138929088,0.0058374102110746,0.8639985623821236,0.0063412124159375,7969.48486328125,116.18393481624264,0.0684727078658163,0.838989115932543,4.0,2715.08
08,86400,Transformer,0.8041331403762664,0.0091388785572197,0.7876177940392851,0.0078756888687601,9354.5171875,202.89562147858052,0.0490314251218966,0.724510257621302,5.0,2715.08
08,86400,KF,,,,,1538.7415850866614,0.0033256537057867,0.0193429967009781,,,2715.08
08,86400,EKF-HMM,,,,,1715.5943456886157,0.8189709845572466,0.0197034915302665,,,2715.08
09,86400,STA-LSTM,0.991479015918958,0.0007007928660108,0.9905933201406654,0.0007389630559465,21598.98125,777.4762498007327,0.0318683211465248,0.9139272900638792,1.0,2606.32
09,86400,STA-LSTM-H,0.991536903039074,0.0008181561675973,0.9906351771083524,0.0008211951899422,21768.45234375,207.01836475085057,0.0321247611119372,0.9134359383198558,2.0,2606.32
09,86400,LSTM,0.8561620839363242,0.0033843723464117,0.8494208355688959,0.0036759117664581,21827.358203125,164.47359393565833,0.0214803539332428,0.86587853328126,3.0,2606.32
09,86400,GRU,0.8681910274963821,0.0055473864789166,0.8622490920196324,0.0058079071542015,20969.194921875,401.5215046225002,0.0617456752422782,0.8352694958716333,4.0,2606.32
09,86400,Transformer,0.8013777134587554,0.0067948137321964,0.7943180148824817,0.0059770933906825,26402.841015625,445.5012044230577,0.0521259861991521,0.7172915696378749,5.0,2606.32
09,86400,KF,,,,,4389.020711839321,0.0102415579526213,0.0187138814476417,,,2606.32
09,86400,EKF-HMM,,,,,4884.782754396987,2.1696897380781177,0.0190397811866218,,,2606.32
10,86400,LSTM,0.9512821997105644,0.0034694818204096,0.9367038850632742,0.0043988894265936,9388.9447265625,110.37896343575994,0.0219710089270343,0.9407913565786756,1.0,2751.19
10,86400,STA-LSTM,0.9935861070911725,0.0004958058027291,0.9914105110230992,0.0005262964505372,9724.8375,305.3447901536018,0.0345512366888696,0.9098992483808106,2.0,2751.19
10,86400,STA-LSTM-H,0.9939102749638206,0.0002675362085855,0.9916930245127996,0.0004673242576706,9665.4041015625,107.03334959305845,0.0356758558380049,0.9081556189333176,3.0,2751.19
10,86400,GRU,0.954083936324168,0.004244259014,0.940831671590558,0.0059009397813188,9285.519140625,153.25182681539712,0.0599084697541135,0.9046180101267643,4.0,2751.19
10,86400,Transformer,0.9031895803183791,0.0068780617699225,0.8753137405329123,0.0077930325826406,11070.78046875,198.599107103367,0.057228218870542,0.7948795260204908,5.0,2751.19
10,86400,KF,,,,,1749.6641372153856,0.007408898449398,0.0205819292853865,,,2751.19
10,86400,EKF-HMM,,,,,1958.106510903711,0.5627270815242988,0.0213042172972603,,,2751.19
11,86400,LSTM,0.91610998552822,0.0038518909218379,0.8656232994452008,0.0047989289604141,10996.4765625,144.25655394132443,0.0223711810820074,0.913246420533384,1.0,2883.33
11,86400,STA-LSTM,0.9928798842257598,0.0007688316163651,0.9864922178442754,0.0011264820354372,11504.5220703125,280.19529894384726,0.0344491675940871,0.9115102115958812,2.0,2883.33
11,86400,STA-LSTM-H,0.9926367583212736,0.0007461827169584,0.9860171384181042,0.001081492075172,11256.7986328125,164.69197449531438,0.0389019141644886,0.903881263794144,3.0,2883.33
11,86400,GRU,0.9295745296671488,0.0065082836941639,0.8865060986481108,0.0101056783524486,10739.30703125,323.8231768316824,0.0684898031609976,0.8816560580851598,4.0,2883.33
11,86400,Transformer,0.8521678726483358,0.0153606895477369,0.7812722528161149,0.0151358871622462,12796.324609375,220.49175963507304,0.0531672082083938,0.7582090086834163,5.0,2883.33
11,86400,KF,,,,,1974.3307160253676,0.0039397472611102,0.0187483810362784,,,2883.33
11,86400,EKF-HMM,,,,,2227.2898080499485,0.5077166751999549,0.0190401320762166,,,2883.33
12,86400,LSTM,0.94983502170767,0.0036812931618369,0.9378635989533172,0.0046112150214792,9503.4439453125,127.10437366154652,0.0231266349288547,0.9403574655087588,1.0,2760.7
12,86400,STA-LSTM,0.9924978292329956,0.0005287727813218,0.990556456206466,0.0007676515611668,9835.3017578125,163.33479751799973,0.0349064040396702,0.9124506945827944,2.0,2760.7
12,86400,STA-LSTM-H,0.992960926193922,0.0004892745958695,0.9910430559922464,0.0007537552436879,9718.963671875,74.88373656694613,0.0362494210827173,0.9103691585971164,3.0,2760.7
12,86400,GRU,0.9541302460202604,0.0066182575054947,0.943133633076175,0.0083011272467712,9341.0970703125,100.37436626343528,0.0613770891330036,0.906394829132821,4.0,2760.7
12,86400,Transformer,0.895166425470333,0.0086225775264733,0.8730820116634395,0.0088551355269388,11409.884765625,296.8524189519416,0.0533858220208862,0.7940384424182929,5.0,2760.7
12,86400,KF,,,,,2022.2893352731255,0.0107614373043377,0.0190778966250461,,,2760.7
12,86400,EKF-HMM,,,,,2266.9960796303467,1.143595121813901,0.0193210072834287,,,2760.7
13,86400,LSTM,0.9269811866859624,0.0072568010436091,0.9066119441322448,0.0090994559042034,18771.33046875,346.71146545684906,0.0223005959863859,0.9214748638857136,1.0,2970.33
13,86400,STA-LSTM,0.9935861070911722,0.0002821663121725,0.9910237958897776,0.0004623702592857,19530.390234375,556.2335027390898,0.0338866752282582,0.912379862204993,2.0,2970.33
