model_kind,input_dim,seq_len,macs,n_params,model_size_kb_fp32,model_size_kb_int8,mcu_profile,mcu_mac_per_s,note,estimated_latency_ms
lstm_h,15,25,4857920,190277,743.26953125,185.8173828125,"Cortex-M4 @ 100 MHz, INT8",50000000.0,low-end collar,97.1584
lstm_h,15,25,4857920,190277,743.26953125,185.8173828125,"Cortex-M7 @ 400 MHz, INT8",200000000.0,mid-range collar,24.2896
lstm_h,15,25,4857920,190277,743.26953125,185.8173828125,"Cortex-A53 @ 1.4 GHz, INT8 (NEON)",700000000.0,high-end SoM,6.939885714285714
lstm_h,15,25,4857920,190277,743.26953125,185.8173828125,"Server CPU x86, FP32 (1 thread)",2000000000.0,sanity check,2.42896
lstm,14,25,2899680,117989,460.89453125,115.2236328125,"Cortex-M4 @ 100 MHz, INT8",50000000.0,low-end collar,57.9936
lstm,14,25,2899680,117989,460.89453125,115.2236328125,"Cortex-M7 @ 400 MHz, INT8",200000000.0,mid-range collar,14.4984
lstm,14,25,2899680,117989,460.89453125,115.2236328125,"Cortex-A53 @ 1.4 GHz, INT8 (NEON)",700000000.0,high-end SoM,4.1424
lstm,14,25,2899680,117989,460.89453125,115.2236328125,"Server CPU x86, FP32 (1 thread)",2000000000.0,sanity check,1.44984
gru,14,25,2174880,88613,346.14453125,86.5361328125,"Cortex-M4 @ 100 MHz, INT8",50000000.0,low-end collar,43.4976
gru,14,25,2174880,88613,346.14453125,86.5361328125,"Cortex-M7 @ 400 MHz, INT8",200000000.0,mid-range collar,10.8744
gru,14,25,2174880,88613,346.14453125,86.5361328125,"Cortex-A53 @ 1.4 GHz, INT8 (NEON)",700000000.0,high-end SoM,3.1069714285714287
gru,14,25,2174880,88613,346.14453125,86.5361328125,"Server CPU x86, FP32 (1 thread)",2000000000.0,sanity check,1.08744
transformer,14,25,6919040,300293,1173.01953125,293.2548828125,"Cortex-M4 @ 100 MHz, INT8",50000000.0,low-end collar,138.3808
transformer,14,25,6919040,300293,1173.01953125,293.2548828125,"Cortex-M7 @ 400 MHz, INT8",200000000.0,mid-range collar,34.5952
transformer,14,25,6919040,300293,1173.01953125,293.2548828125,"Cortex-A53 @ 1.4 GHz, INT8 (NEON)",700000000.0,high-end SoM,9.884342857142856
transformer,14,25,6919040,300293,1173.01953125,293.2548828125,"Server CPU x86, FP32 (1 thread)",2000000000.0,sanity check,3.45952
