animal,accuracy,f1
1,0.9943270622286542,0.992276355642048
2,0.9938523878437048,0.9928139295286103
3,0.9935050651230102,0.9920549273548749
4,0.9936092619392184,0.9911966319063745
5,0.9937481910274965,0.9917888658410453
6,0.9927178002894357,0.9915655650728932
7,0.9934356005788711,0.992477785626878
8,0.9905412445730827,0.9892159680479422
9,0.9920463096960926,0.9911323104726909
10,0.9948596237337192,0.992678780419417
11,0.9938060781476121,0.9877697293215026
12,0.9935050651230102,0.9916423260707197
13,0.9943849493487699,0.9919611628110643
14,0.9945933429811866,0.9926971184190041
15,0.9932850940665702,0.9911604306342439
16,0.9931577424023155,0.9901519354040745
17,0.9930651230101301,0.9895853398295908
18,0.9935861070911722,0.9893858680132805
