model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.992370477568741,0.001461876155615826,0.9889486025361446,0.002448302586293025,9823.7599609375,343.6066117931726,0.01018400986405297,8.919919697245099e-05,0.3391304016113281,0.0,0.0,0.0,0.9988118243940483,1
GRU + bp_lag1,0.9843241678726484,0.0004228534267496301,0.977448651414673,0.0009968771913382317,10143.4701171875,367.27314583911016,0.010105755486068695,3.3068582759867356e-05,0.3391304016113281,0.0,0.0,0.0,0.9930970954163315,2
LSTM + bp,0.9924978292329957,0.0009287951893548734,0.9893077467470585,0.0013211925979597621,10089.0876953125,373.66400919394346,0.010644026661315979,0.00010346822164310536,0.4515571594238281,0.0,0.0,0.0,0.9697282441642623,3
LSTM + bp_lag1,0.9843241678726484,0.0012541081250984209,0.9775783697588999,0.0020589983957141115,10598.1287109375,186.48756017990158,0.010695861314198302,9.298029023147964e-05,0.4515571594238281,0.0,0.0,0.0,0.9626823841375294,4
STA-LSTM + bp_lag1,0.9842199710564399,0.0015565501080875776,0.9773537049555884,0.002786370615224534,10570.7974609375,342.55394731919137,0.012711024057395034,4.813867407317448e-05,0.7258491516113281,0.0,0.0,0.0,0.9192388912063558,5
STA-LSTM-H + bp_lag1,0.984590448625181,0.0015039069349794367,0.9780215925261085,0.0022285994436150786,10609.7818359375,229.27758882604405,0.012782179205995134,0.0001026088441262854,0.7258491516113281,0.0,0.0,0.0,0.9190948173398015,6
Transformer + bp,0.9928914616497829,0.0006573693576418516,0.9897654286365766,0.0010421414396220479,13672.6337890625,251.77796736972235,0.013935585657212823,0.00014699426784636573,1.1460151672363281,0.0,0.0,0.0,0.9021097621487341,7
Transformer + bp_lag1,0.9853892908827785,0.0016554501893460258,0.9792309289004418,0.0023036370574801143,13998.7021484375,248.9818956978593,0.013952787229643026,0.00017634518732561585,1.1460151672363281,0.0,0.0,0.0,0.8959756537921153,8
STA-LSTM (accel),0.9440578871201157,0.005989971674443359,0.9306799609672577,0.007445486763711384,10694.34375,159.8054386839069,0.01282763743015645,0.00013613437573597786,0.7238960266113281,0.0,0.0,0.0,0.8862824999688933,9
STA-LSTM-H (accel),0.9432127351664255,0.007614742067684114,0.9293799429844887,0.010431404927426424,10734.6154296875,356.98300110947997,0.012986612619425126,0.00013750766737227293,0.7238960266113281,0.0,0.0,0.0,0.8846371413733697,10
