comparison,p,W_plus,r_rb,n,p_holm
STA-LSTM-H_vs_STA-LSTM|acc,0.6318598717596959,74.5,-0.1286549707602339,18,1.0
STA-LSTM-H_vs_STA-LSTM|f1,0.7660293579101562,78.0,-0.08771929824561403,18,1.0
STA-LSTM-H_vs_STA-LSTM|rmse,0.9661178588867188,84.0,-0.017543859649122806,18,1.0
STA-LSTM-H_vs_LSTM|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_LSTM|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_LSTM|rmse,1.52587890625e-05,1.0,-0.9883040935672515,18,9.1552734375e-05
STA-LSTM-H_vs_GRU|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_GRU|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_GRU|rmse,1.52587890625e-05,1.0,-0.9883040935672515,18,9.1552734375e-05
STA-LSTM-H_vs_Transformer|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_Transformer|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_Transformer|rmse,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
