comparison,p,W_plus,r_rb,n,p_holm
STA-LSTM-H_vs_STA-LSTM|acc,0.6396942138671875,74.0,-0.13450292397660818,18,1.0
STA-LSTM-H_vs_STA-LSTM|f1,0.44229888916015625,67.0,-0.21637426900584794,18,1.0
STA-LSTM-H_vs_STA-LSTM|rmse,0.7987060546875,92.0,0.07602339181286549,18,1.0
STA-LSTM-H_vs_LSTM|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_LSTM|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_LSTM|rmse,0.06653594970703125,128.0,0.49707602339181284,18,0.3992156982421875
STA-LSTM-H_vs_GRU|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_GRU|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_GRU|rmse,0.18146514892578125,117.0,0.3684210526315789,18,0.725860595703125
STA-LSTM-H_vs_Transformer|acc,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_Transformer|f1,7.62939453125e-06,171.0,1.0,18,9.1552734375e-05
STA-LSTM-H_vs_Transformer|rmse,0.0736846923828125,44.0,-0.4853801169590643,18,0.3992156982421875
